hz,v_rms_per_rthz
896.00,9.4458e-07
897.00,1.0857e-06
898.00,9.8080e-07
899.00,1.0356e-06
900.00,8.5933e-07
901.00,9.3922e-07
902.00,1.0343e-06
903.00,1.1074e-06
904.00,1.0434e-06
905.00,9.9147e-07
906.00,9.6872e-07
907.00,1.0338e-06
908.00,1.0783e-06
909.00,1.1089e-06
910.00,1.0048e-06
911.00,9.1867e-07
912.00,1.1041e-06
913.00,1.1318e-06
914.00,8.8836e-07
915.00,8.6296e-07
916.00,1.1265e-06
917.00,8.1294e-07
918.00,8.1390e-07
919.00,8.3117e-07
920.00,1.0671e-06
921.00,8.8330e-07
922.00,1.0481e-06
923.00,9.7023e-07
924.00,9.8282e-07
925.00,7.6665e-07
926.00,9.3879e-07
927.00,8.3670e-07
928.00,8.9270e-07
929.00,7.7515e-07
930.00,8.1420e-07
931.00,1.0009e-06
932.00,9.1592e-07
933.00,8.7022e-07
934.00,1.1290e-06
935.00,9.1012e-07
936.00,1.0313e-06
937.00,8.0205e-07
938.00,9.3072e-07
939.00,9.1127e-07
940.00,1.0093e-06
941.00,6.8766e-07
942.00,8.5416e-07
943.00,1.0976e-06
944.00,9.7401e-07
945.00,9.8717e-07
946.00,7.1203e-07
947.00,1.1160e-06
948.00,1.0843e-06
949.00,8.0305e-07
950.00,7.2629e-07
951.00,7.8219e-07
952.00,9.7477e-07
953.00,7.4620e-07
954.00,1.0190e-06
955.00,1.1557e-06
956.00,9.6865e-07
957.00,9.3560e-07
958.00,7.7491e-07
959.00,8.3345e-07
960.00,7.8180e-07
961.00,9.4866e-07
962.00,1.2677e-06
963.00,1.0725e-06
964.00,9.9570e-07
965.00,7.8348e-07
966.00,8.8770e-07
967.00,9.9422e-07
968.00,9.4797e-07
969.00,1.0044e-06
970.00,1.0022e-06
971.00,9.3380e-07
972.00,1.0227e-06
973.00,1.0751e-06
974.00,1.0082e-06
975.00,1.0377e-06
976.00,1.1738e-06
977.00,1.0226e-06
978.00,1.1222e-06
979.00,9.4721e-07
980.00,8.5644e-07
981.00,1.0226e-06
982.00,9.9608e-07
983.00,1.2128e-06
984.00,7.6567e-07
985.00,1.0936e-06
986.00,8.4220e-07
987.00,8.6604e-07
988.00,1.2610e-06
989.00,9.3441e-07
990.00,9.4409e-07
991.00,1.0703e-06
992.00,1.0454e-06
993.00,9.9401e-07
994.00,7.7379e-07
995.00,9.8590e-07
996.00,1.0206e-06
997.00,8.4374e-07
998.00,9.8804e-07
999.00,1.0300e-06
1000.00,1.2233e-06
1001.00,8.8333e-07
1002.00,9.4889e-07
1003.00,9.5128e-07
1004.00,9.2023e-07
1005.00,1.0838e-06
1006.00,1.1163e-06
1007.00,9.3484e-07
1008.00,8.9367e-07
1009.00,9.7919e-07
1010.00,8.6652e-07
1011.00,9.6193e-07
1012.00,8.8830e-07
1013.00,1.0707e-06
1014.00,1.0283e-06
1015.00,8.7369e-07
1016.00,8.6921e-07
1017.00,9.1084e-07
1018.00,9.4213e-07
1019.00,1.0039e-06
1020.00,8.2669e-07
1021.00,9.6948e-07
