 3.39704878e+01 -1.08841039e+02  3.39704878e+01 -1.08911135e+02  3.39704878e+01 -1.63049687e+00  3.39704878e+01 -1.63088018e+00 
 3.41666630e+01 -1.08739847e+02  3.41666630e+01 -1.08809943e+02  3.41666630e+01 -1.63059521e+00  3.41666630e+01 -1.63098295e+00 
 3.43639710e+01 -1.08638642e+02  3.43639710e+01 -1.08708738e+02  3.43639710e+01 -1.63069469e+00  3.43639710e+01 -1.63108691e+00 
 3.45624185e+01 -1.08537424e+02  3.45624185e+01 -1.08607520e+02  3.45624185e+01 -1.63079532e+00  3.45624185e+01 -1.63119207e+00 
 3.47620119e+01 -1.08436192e+02  3.47620119e+01 -1.08506288e+02  3.47620119e+01 -1.63089713e+00  3.47620119e+01 -1.63129846e+00 
 3.49627580e+01 -1.08334946e+02  3.49627580e+01 -1.08405043e+02  3.49627580e+01 -1.63100011e+00  3.49627580e+01 -1.63140608e+00 
 3.51646634e+01 -1.08233687e+02  3.51646634e+01 -1.08303784e+02  3.51646634e+01 -1.63110429e+00  3.51646634e+01 -1.63151495e+00 
 3.53677348e+01 -1.08132414e+02  3.53677348e+01 -1.08202511e+02  3.53677348e+01 -1.63120968e+00  3.53677348e+01 -1.63162508e+00 
 3.55719789e+01 -1.08031126e+02  3.55719789e+01 -1.08101224e+02  3.55719789e+01 -1.63131629e+00  3.55719789e+01 -1.63173649e+00 
 3.57774024e+01 -1.07929825e+02  3.57774024e+01 -1.07999923e+02  3.57774024e+01 -1.63142414e+00  3.57774024e+01 -1.63184920e+00 
 3.59840123e+01 -1.07828509e+02  3.59840123e+01 -1.07898607e+02  3.59840123e+01 -1.63153324e+00  3.59840123e+01 -1.63196321e+00 
 3.61918153e+01 -1.07727179e+02  3.61918153e+01 -1.07797277e+02  3.61918153e+01 -1.63164360e+00  3.61918153e+01 -1.63207854e+00 
 3.64008183e+01 -1.07625834e+02  3.64008183e+01 -1.07695932e+02  3.64008183e+01 -1.63175525e+00  3.64008183e+01 -1.63219521e+00 
 3.66110283e+01 -1.07524475e+02  3.66110283e+01 -1.07594573e+02  3.66110283e+01 -1.63186820e+00  3.66110283e+01 -1.63231324e+00 
 3.68224522e+01 -1.07423100e+02  3.68224522e+01 -1.07493198e+02  3.68224522e+01 -1.63198245e+00  3.68224522e+01 -1.63243264e+00 
 3.70350971e+01 -1.07321710e+02  3.70350971e+01 -1.07391809e+02  3.70350971e+01 -1.63209803e+00  3.70350971e+01 -1.63255342e+00 
 3.72489700e+01 -1.07220305e+02  3.72489700e+01 -1.07290404e+02  3.72489700e+01 -1.63221496e+00  3.72489700e+01 -1.63267560e+00 
 3.74640779e+01 -1.07118884e+02  3.74640779e+01 -1.07188983e+02  3.74640779e+01 -1.63233324e+00  3.74640779e+01 -1.63279920e+00 
 3.76804281e+01 -1.07017448e+02  3.76804281e+01 -1.07087547e+02  3.76804281e+01 -1.63245289e+00  3.76804281e+01 -1.63292424e+00 
 3.78980277e+01 -1.06915996e+02  3.78980277e+01 -1.06986095e+02  3.78980277e+01 -1.63257393e+00  3.78980277e+01 -1.63305072e+00 
 3.81168839e+01 -1.06814527e+02  3.81168839e+01 -1.06884627e+02  3.81168839e+01 -1.63269638e+00  3.81168839e+01 -1.63317868e+00 
 3.83370039e+01 -1.06713043e+02  3.83370039e+01 -1.06783143e+02  3.83370039e+01 -1.63282025e+00  3.83370039e+01 -1.63330812e+00 
 3.85583952e+01 -1.06611542e+02  3.85583952e+01 -1.06681643e+02  3.85583952e+01 -1.63294556e+00  3.85583952e+01 -1.63343906e+00 
 3.87810649e+01 -1.06510025e+02  3.87810649e+01 -1.06580126e+02  3.87810649e+01 -1.63307232e+00  3.87810649e+01 -1.63357152e+00 
 3.90050205e+01 -1.06408491e+02  3.90050205e+01 -1.06478592e+02  3.90050205e+01 -1.63320056e+00  3.90050205e+01 -1.63370552e+00 
 3.92302694e+01 -1.06306941e+02  3.92302694e+01 -1.06377042e+02  3.92302694e+01 -1.63333028e+00  3.92302694e+01 -1.63384108e+00 
 3.94568191e+01 -1.06205373e+02  3.94568191e+01 -1.06275474e+02  3.94568191e+01 -1.63346151e+00  3.94568191e+01 -1.63397821e+00 
 3.96846771e+01 -1.06103787e+02  3.96846771e+01 -1.06173889e+02  3.96846771e+01 -1.63359427e+00  3.96846771e+01 -1.63411693e+00 
 3.99138510e+01 -1.06002185e+02  3.99138510e+01 -1.06072287e+02  3.99138510e+01 -1.63372856e+00  3.99138510e+01 -1.63425726e+00 
 4.01443483e+01 -1.05900565e+02  4.01443483e+01 -1.05970667e+02  4.01443483e+01 -1.63386442e+00  4.01443483e+01 -1.63439922e+00 
 4.03761767e+01 -1.05798927e+02  4.03761767e+01 -1.05869029e+02  4.03761767e+01 -1.63400185e+00  4.03761767e+01 -1.63454282e+00 
 4.06093439e+01 -1.05697270e+02  4.06093439e+01 -1.05767373e+02  4.06093439e+01 -1.63414088e+00  4.06093439e+01 -1.63468810e+00 
 4.08438575e+01 -1.05595596e+02  4.08438575e+01 -1.05665699e+02  4.08438575e+01 -1.63428153e+00  4.08438575e+01 -1.63483506e+00 
 4.10797255e+01 -1.05493903e+02  4.10797255e+01 -1.05564007e+02  4.10797255e+01 -1.63442380e+00  4.10797255e+01 -1.63498373e+00 
 4.13169556e+01 -1.05392192e+02  4.13169556e+01 -1.05462295e+02  4.13169556e+01 -1.63456773e+00  4.13169556e+01 -1.63513412e+00 
 4.15555556e+01 -1.05290462e+02  4.15555556e+01 -1.05360566e+02  4.15555556e+01 -1.63471334e+00  4.15555556e+01 -1.63528626e+00 
 4.17955336e+01 -1.05188713e+02  4.17955336e+01 -1.05258817e+02  4.17955336e+01 -1.63486063e+00  4.17955336e+01 -1.63544017e+00 
 4.20368974e+01 -1.05086944e+02  4.20368974e+01 -1.05157048e+02  4.20368974e+01 -1.63500963e+00  4.20368974e+01 -1.63559586e+00 
 4.22796550e+01 -1.04985156e+02  4.22796550e+01 -1.05055261e+02  4.22796550e+01 -1.63516037e+00  4.22796550e+01 -1.63575336e+00 
 4.25238145e+01 -1.04883349e+02  4.25238145e+01 -1.04953454e+02  4.25238145e+01 -1.63531286e+00  4.25238145e+01 -1.63591269e+00 
 4.27693840e+01 -1.04781521e+02  4.27693840e+01 -1.04851627e+02  4.27693840e+01 -1.63546711e+00  4.27693840e+01 -1.63607387e+00 
 4.30163716e+01 -1.04679674e+02  4.30163716e+01 -1.04749779e+02  4.30163716e+01 -1.63562316e+00  4.30163716e+01 -1.63623692e+00 
 4.32647856e+01 -1.04577806e+02  4.32647856e+01 -1.04647912e+02  4.32647856e+01 -1.63578103e+00  4.32647856e+01 -1.63640187e+00 
 4.35146341e+01 -1.04475918e+02  4.35146341e+01 -1.04546024e+02  4.35146341e+01 -1.63594072e+00  4.35146341e+01 -1.63656873e+00 
 4.37659255e+01 -1.04374009e+02  4.37659255e+01 -1.04444115e+02  4.37659255e+01 -1.63610228e+00  4.37659255e+01 -1.63673753e+00 
 4.40186680e+01 -1.04272079e+02  4.40186680e+01 -1.04342186e+02  4.40186680e+01 -1.63626571e+00  4.40186680e+01 -1.63690829e+00 
 4.42728701e+01 -1.04170128e+02  4.42728701e+01 -1.04240235e+02  4.42728701e+01 -1.63643103e+00  4.42728701e+01 -1.63708103e+00 
 4.45285402e+01 -1.04068155e+02  4.45285402e+01 -1.04138263e+02  4.45285402e+01 -1.63659828e+00  4.45285402e+01 -1.63725578e+00 
 4.47856867e+01 -1.03966161e+02  4.47856867e+01 -1.04036269e+02  4.47856867e+01 -1.63676748e+00  4.47856867e+01 -1.63743255e+00 
 4.50443182e+01 -1.03864145e+02  4.50443182e+01 -1.03934253e+02  4.50443182e+01 -1.63693864e+00  4.50443182e+01 -1.63761139e+00 
 4.53044433e+01 -1.03762107e+02  4.53044433e+01 -1.03832215e+02  4.53044433e+01 -1.63711179e+00  4.53044433e+01 -1.63779229e+00 
 4.55660706e+01 -1.03660046e+02  4.55660706e+01 -1.03730155e+02  4.55660706e+01 -1.63728695e+00  4.55660706e+01 -1.63797530e+00 
 4.58292087e+01 -1.03557963e+02  4.58292087e+01 -1.03628072e+02  4.58292087e+01 -1.63746414e+00  4.58292087e+01 -1.63816044e+00 
 4.60938664e+01 -1.03455858e+02  4.60938664e+01 -1.03525967e+02  4.60938664e+01 -1.63764340e+00  4.60938664e+01 -1.63834773e+00 
 4.63600525e+01 -1.03353729e+02  4.63600525e+01 -1.03423838e+02  4.63600525e+01 -1.63782474e+00  4.63600525e+01 -1.63853719e+00 
 4.66277758e+01 -1.03251576e+02  4.66277758e+01 -1.03321687e+02  4.66277758e+01 -1.63800819e+00  4.66277758e+01 -1.63872885e+00 
 4.68970452e+01 -1.03149401e+02  4.68970452e+01 -1.03219511e+02  4.68970452e+01 -1.63819377e+00  4.68970452e+01 -1.63892274e+00 
 4.71678695e+01 -1.03047201e+02  4.71678695e+01 -1.03117312e+02  4.71678695e+01 -1.63838150e+00  4.71678695e+01 -1.63911888e+00 
 4.74402578e+01 -1.02944978e+02  4.74402578e+01 -1.03015089e+02  4.74402578e+01 -1.63857142e+00  4.74402578e+01 -1.63931731e+00 
 4.77142191e+01 -1.02842730e+02  4.77142191e+01 -1.02912841e+02  4.77142191e+01 -1.63876355e+00  4.77142191e+01 -1.63951803e+00 
 4.79897626e+01 -1.02740457e+02  4.79897626e+01 -1.02810569e+02  4.79897626e+01 -1.63895791e+00  4.79897626e+01 -1.63972109e+00 
 4.82668972e+01 -1.02638160e+02  4.82668972e+01 -1.02708272e+02  4.82668972e+01 -1.63915453e+00  4.82668972e+01 -1.63992651e+00 
 4.85456323e+01 -1.02535838e+02  4.85456323e+01 -1.02605950e+02  4.85456323e+01 -1.63935344e+00  4.85456323e+01 -1.64013432e+00 
 4.88259770e+01 -1.02433490e+02  4.88259770e+01 -1.02503603e+02  4.88259770e+01 -1.63955466e+00  4.88259770e+01 -1.64034454e+00 
 4.91079407e+01 -1.02331117e+02  4.91079407e+01 -1.02401230e+02  4.91079407e+01 -1.63975822e+00  4.91079407e+01 -1.64055720e+00 
 4.93915326e+01 -1.02228717e+02  4.93915326e+01 -1.02298831e+02  4.93915326e+01 -1.63996414e+00  4.93915326e+01 -1.64077234e+00 
 4.96767623e+01 -1.02126292e+02  4.96767623e+01 -1.02196406e+02  4.96767623e+01 -1.64017246e+00  4.96767623e+01 -1.64098997e+00 
 4.99636392e+01 -1.02023840e+02  4.99636392e+01 -1.02093955e+02  4.99636392e+01 -1.64038321e+00  4.99636392e+01 -1.64121014e+00 
 5.02521727e+01 -1.01921362e+02  5.02521727e+01 -1.01991477e+02  5.02521727e+01 -1.64059640e+00  5.02521727e+01 -1.64143286e+00 
 5.05423725e+01 -1.01818856e+02  5.05423725e+01 -1.01888972e+02  5.05423725e+01 -1.64081208e+00  5.05423725e+01 -1.64165817e+00 
 5.08342481e+01 -1.01716323e+02  5.08342481e+01 -1.01786439e+02  5.08342481e+01 -1.64103026e+00  5.08342481e+01 -1.64188611e+00 
 5.11278093e+01 -1.01613763e+02  5.11278093e+01 -1.01683879e+02  5.11278093e+01 -1.64125098e+00  5.11278093e+01 -1.64211669e+00 
 5.14230657e+01 -1.01511175e+02  5.14230657e+01 -1.01581292e+02  5.14230657e+01 -1.64147427e+00  5.14230657e+01 -1.64234995e+00 
 5.17200273e+01 -1.01408559e+02  5.17200273e+01 -1.01478676e+02  5.17200273e+01 -1.64170016e+00  5.17200273e+01 -1.64258592e+00 
 5.20187037e+01 -1.01305914e+02  5.20187037e+01 -1.01376031e+02  5.20187037e+01 -1.64192867e+00  5.20187037e+01 -1.64282464e+00 
 5.23191050e+01 -1.01203240e+02  5.23191050e+01 -1.01273358e+02  5.23191050e+01 -1.64215984e+00  5.23191050e+01 -1.64306613e+00 
 5.26212410e+01 -1.01100538e+02  5.26212410e+01 -1.01170656e+02  5.26212410e+01 -1.64239370e+00  5.26212410e+01 -1.64331043e+00 
 5.29251218e+01 -1.00997806e+02  5.29251218e+01 -1.01067925e+02  5.29251218e+01 -1.64263029e+00  5.29251218e+01 -1.64355757e+00 
 5.32307575e+01 -1.00895045e+02  5.32307575e+01 -1.00965164e+02  5.32307575e+01 -1.64286962e+00  5.32307575e+01 -1.64380759e+00 
 5.35381582e+01 -1.00792253e+02  5.35381582e+01 -1.00862373e+02  5.35381582e+01 -1.64311174e+00  5.35381582e+01 -1.64406051e+00 
 5.38473341e+01 -1.00689432e+02  5.38473341e+01 -1.00759552e+02  5.38473341e+01 -1.64335668e+00  5.38473341e+01 -1.64431637e+00 
 5.41582955e+01 -1.00586579e+02  5.41582955e+01 -1.00656700e+02  5.41582955e+01 -1.64360447e+00  5.41582955e+01 -1.64457521e+00 
 5.44710526e+01 -1.00483696e+02  5.44710526e+01 -1.00553818e+02  5.44710526e+01 -1.64385514e+00  5.44710526e+01 -1.64483706e+00 
 5.47856159e+01 -1.00380782e+02  5.47856159e+01 -1.00450904e+02  5.47856159e+01 -1.64410873e+00  5.47856159e+01 -1.64510196e+00 
 5.51019957e+01 -1.00277836e+02  5.51019957e+01 -1.00347959e+02  5.51019957e+01 -1.64436527e+00  5.51019957e+01 -1.64536993e+00 
 5.54202026e+01 -1.00174859e+02  5.54202026e+01 -1.00244982e+02  5.54202026e+01 -1.64462480e+00  5.54202026e+01 -1.64564102e+00 
 5.57402470e+01 -1.00071849e+02  5.57402470e+01 -1.00141972e+02  5.57402470e+01 -1.64488735e+00  5.57402470e+01 -1.64591527e+00 
